Chapter,Verse,Text_V1,Text_V2,Cambios_v1,Cambios_v2
78.0,45.0," Y convertió por sangre sus ríos, y sus corrientes rio beverán.",Y convertio por sangre sus rios: y sus corrientes no bevian.,"convertió ⚠️ | ríos, | rio ⚠️ | beverán.",convertio ⚠️ | rios: ⚠️ | no | bevian.
78.0,46.0," Embió en ellos mestura y comiólos, y rana y dañólos.","Embio en ellos mestura y comiolos: y raña, y dañolos.","Embió ⚠️ | comiólos, ⚠️ | rana | dañólos. ⚠️","Embio ⚠️ | comiolos: ⚠️ | dañolos. ⚠️ | raña,"
78.0,47.0," Y dio al lagostín su hermollo, y su lazerio a la langosta.",Y dio al lagostin su hermollo y su lazerio a la langosta.,"lagostín ⚠️ | hermollo, ⚠️",lagostin ⚠️ | hermollo ⚠️
78.0,48.0," Mató con pedrisco su vid, y sus higos con langosta.",Mato con pedrisco su vid: y sus higos con langosta.,"Mató ⚠️ | vid, ⚠️",Mato ⚠️ | vid: ⚠️
78.0,49.0," Y entregó al pedrisco su bestia, y sus ganados a brasas.","Y entrego al pedrisco su bestia, y sus ganados a brasas.",entregó ⚠️,entrego ⚠️
78.0,50.0," Embió en ellos ira de su furor, saña y ira, y angustia; y embiamiento de ángeles malos.","Embio en ellos yra de su furor, saña, y yra, y angustia: y embiamiento de angeles malos.","Embió ⚠️ | ira | saña ⚠️ | ira, ⚠️ | angustia; ⚠️ | ángeles ⚠️","Embio ⚠️ | saña, ⚠️ | yra, ⚠️ | angustia: ⚠️ | angeles ⚠️ | yra"
78.0,51.0," Endereçó sendero a su furor, no vedo de muerte su alma, y su vida a mortandad entregó.","Endereço sendero a su furor, no vedo de muerte su alma: y su vida a mortandad entrego.","Endereçó ⚠️ | alma, ⚠️ | entregó. ⚠️",Endereço ⚠️ | alma: ⚠️ | entrego. ⚠️
78.0,52.0," Y firió todo primogénito en Egypto, principio de fortalezas en tiendas de Ham.",Y firio todo primogenito en Egypto: principio de fortalezas en tiendas de Ham.,"firió ⚠️ | primogénito ⚠️ | Egypto, ⚠️",firio ⚠️ | primogenito ⚠️ | Egypto: ⚠️
78.0,53.0," Y fizo mover como ovejas su pueblo, y guiólos como rebaño en desierto.",Y fizo mover como ovejas su pueblo: y guiolos como rebaño en desierto.,"pueblo, ⚠️ | guiólos ⚠️",pueblo: ⚠️ | guiolos ⚠️
78.0,54.0," Y guiólos a fiuzia, y no se espavorescieron; y sus enemigos cubrió la mar.","Y guiolos a fiuzia, y no se espavorescieron: y sus enemigos cubrio la mar.",guiólos ⚠️ | espavorescieron; ⚠️ | cubrió ⚠️,guiolos ⚠️ | espavorescieron: ⚠️ | cubrio ⚠️
78.0,55.0," Y trúxolos a término de su santidad, monte que posseyó su derecha.","Y truxolos a termino de su santidad: monte, que adquerio su derecha.","trúxolos ⚠️ | término ⚠️ | santidad, ⚠️ | monte ⚠️ | posseyó","truxolos ⚠️ | termino ⚠️ | santidad: ⚠️ | monte, ⚠️ | adquerio"
78.0,56.0," Y desterró delante ellos gentes, y fizólos caer en suerte de heredad, y fizo morar en sus tiendas tribos de Ysrael.","Y desterro delante ellos gentes, y fizolos caer en fuerte de heredad: y fizo morar en sus tiendas tribo de Ysrael.","desterró ⚠️ | fizólos ⚠️ | suerte ⚠️ | heredad, ⚠️ | tribos ⚠️",desterro ⚠️ | fizolos ⚠️ | fuerte ⚠️ | heredad: ⚠️ | tribo ⚠️
78.0,57.0," Y provaron y rebellaron al Dio alto, y sus testamientos no guardaron.",Y provaron y rebellaron al .D. alto: y sus testamientos no guardaron.,"Dio | alto, ⚠️",alto: ⚠️ | .D.
78.0,58.0," Y tornáronse y falsaron como sus padres, fueron bueltos como arco engañoso.",Y tornaronse y falsaron como sus padres: fueron bueltos como arco engañoso.,"tornáronse ⚠️ | padres, ⚠️",tornaronse ⚠️ | padres: ⚠️
78.0,59.0," Y ensañáronlo con sus altares, y con sus doladizos lo fizieron zelar.",Y ensañaronlo en sus altares: y en sus doladizos lo fizieron zelar.,"ensañáronlo ⚠️ | con | altares, ⚠️ | con",ensañaronlo ⚠️ | altares: ⚠️ | en | en
78.0,60.0," Oyó Dio y ensañóse, y aborresció mucho en Ysrael.",Oyo el .D. y ensañose: y aborrescio mucho en Ysrael.,"Oyó | Dio | ensañóse, ⚠️ | aborresció ⚠️",ensañose: ⚠️ | aborrescio ⚠️ | Oyo | el | .D.
78.0,61.0," Y dexó tabernáculo de Siloh, tienda (que) fizo morar entre hombre.",Y dexo tabernaculo de Siloh: tienda (que) fizo morrar entre hombre.,"dexó ⚠️ | tabernáculo ⚠️ | Siloh, ⚠️ | morar ⚠️",dexo ⚠️ | tabernaculo ⚠️ | Siloh: ⚠️ | morrar ⚠️
78.0,62.0," Y dio a captiverio su fortaleza, y su fermosura en mano de angustiador.",Y dio a captiverio su fortaleza: y su fermosura en mano de angustiador.,"fortaleza, ⚠️",fortaleza: ⚠️
78.0,63.0," Y entregó a espada su pueblo, y en su heredad se ensañó.",Y entrego a espada su pueblo: y en su heredad se ensaño.,"entregó ⚠️ | pueblo, ⚠️ | ensañó. ⚠️",entrego ⚠️ | pueblo: ⚠️ | ensaño. ⚠️
78.0,64.0," Sus mancebos quemó fuego, y sus vírgines no fueron loadas (en bodas).",Sus mancebos quemo fuego: y sus virgines no fueron loadas (en bodas).,"quemó ⚠️ | fuego, ⚠️ | vírgines ⚠️",quemo ⚠️ | fuego: ⚠️ | virgines ⚠️
78.0,65.0," Sus sacerdotes en espada cayeron, y sus biudas no lloraron.",Sus sacerdotes con espada cayeron: y sus biudas no lloraron.,"en | cayeron, ⚠️",cayeron: ⚠️ | con
78.0,66.0," Y despertóse como quien duerme Adonay, como barragán esclamán de vino.",Y despertose como quien duerme .A.: como barragan que esclama por el vino.,"despertóse ⚠️ | Adonay, | barragán ⚠️ | esclamán ⚠️ | de",despertose ⚠️ | barragan ⚠️ | esclama ⚠️ | .A.: | que | por | el
78.0,67.0," Y firió sus angustiadores por detrás, repudio de siempre dio a ellos.",Y firio sus angustiadores por detras: repudio de siempre dio a ellos.,"firió ⚠️ | detrás, ⚠️",firio ⚠️ | detras: ⚠️
78.0,68.0," Y aborresció en tienda de Yoseph, y en tribo de Ephraim no escogió.",Y aborrescio en tienda de Yoseph: y en tribo de Ephraim no escogio.,"aborresció ⚠️ | Yoseph, ⚠️ | escogió. ⚠️",aborrescio ⚠️ | Yoseph: ⚠️ | escogio. ⚠️
78.0,69.0," Y escogió a tribo de Yehudah, monte de Zión que amó.",Y escogio tribo de Yehudah: monte de Cion que amo.,"escogió ⚠️ | a | Yehudah, ⚠️ | Zión | amó. ⚠️",escogio ⚠️ | Yehudah: ⚠️ | amo. ⚠️ | Cion
78.0,70.0," Y edificó como alturas su santuario, como tierra la acimentó para siempre.",Y edifico como alturas su santuario: como tierra la aciemiento para siempre.,"edificó ⚠️ | santuario, ⚠️ | acimentó ⚠️",edifico ⚠️ | santuario: ⚠️ | aciemiento ⚠️
78.0,71.0," Y escogió en David su siervo, y tomólo de apriscos de ovejas.",Y escogio en David su siervo: y tomolo de apriscos de ovejas.,"escogió ⚠️ | siervo, ⚠️ | tomólo ⚠️",escogio ⚠️ | siervo: ⚠️ | tomolo ⚠️
78.0,72.0," De detrás de paridas lo truxo, para apascentar en Yahacob su pueblo, y en Ysrael su heredad","De detras de paridas, lo truxo para apascentar en Yahacob su pueblo: y en Ysrael su heredad.","detrás ⚠️ | paridas ⚠️ | truxo, ⚠️ | pueblo, ⚠️ | heredad ⚠️","detras ⚠️ | paridas, ⚠️ | truxo ⚠️ | pueblo: ⚠️ | heredad. ⚠️"
78.0,73.0," Y apascentólos con perfición de su coraçón, y con entendimientos de sus palmas los guió.",Y apascentolos con perficion de su coraçon: y con entendimientos de sus palmas los guyo.,"apascentólos ⚠️ | perfición ⚠️ | coraçón, ⚠️ | guió.",apascentolos ⚠️ | perficion ⚠️ | coraçon: ⚠️ | guyo.
79.0,1.0," Psalmo de Asaph. Dio, vinieron gentes en tu heredad, enconaron palacio de tu santidad, pusieron Yerusalaim por montones.",Psalmo de Asaph.,"Dio, | vinieron | gentes | en | tu | heredad, | enconaron | palacio | de | tu | santidad, | pusieron | Yerusalaim | por | montones.",
79.0,2.0,Ver anterior,Oyo vinieron gentes en Oyo vinieron gentes en tu heredad enconaron palacio de tu santidad: pusieron Yerusalaim por montones.,Ver | anterior,Oyo | vinieron | gentes | en | Oyo | vinieron | gentes | en | tu | heredad | enconaron | palacio | de | tu | santidad: | pusieron | Yerusalaim | por | montones.
